 ,Bolag,Skrivinstruktioner,Kontaktperson,Topic Request,Beställning / Månatlig,
Immense Group,,,,,,
,Videoslots,"(!) Fokus på casino
(-) Får inte nämna poker
(-) Får inte nämna betting",,,Månatlig,"Affiliated events / Content Ideas

We currently have Big Brother UK with Mr Vegas
Mr Vegas Grand Slam of Darts,  November 8-15 (UK)
We have Mr Vegas Sheffield Wednesday Front of Shirt (so all Championship games).
Mega Riches West Brom Albion back of shirt (all championship games)
DBET we have as you know the Basket national team and leagues. Female national team  international games coming up. Sweden Slovenia Dec 1st in Gothenburg
Handball League - All games
Bandy - League starting soon, don't know the exact date, but... when it's cold.
Mr Vegas Nordics Darts Masters Copenhagen next year April"
,Megariches,"(!) Fokus på casino, specifikt ""pay and play"", ""No registration casino"", ""bank id casino"", ""swish casino"", ""trustly casino""
(-) Får inte nämna poker
(-) Får inte nämna betting
",,,Månatlig,
,MrVegas,"(!) Fokus på jackpots
(-) Får inte nämna poker
(-) Får inte nämna betting",,,Månatlig,
,Kungaslottet,"(!) Fokus på casino – framför allt mer specifikt jackpots
(-) Får inte nämna betting
(-) Får inte nämna poker",,,Månatlig,
,D-bet,"(!) Fokus på casino
(+) Får nämna betting
(-) Får inte nämna poker",,,Månatlig,
,,,,,,
ComeOn Group,,,,,,
,Hajper,(!) Fler än 1 trustlink per artikel – 2–3 st – förutsatt att det ter sig naturligt.,,,Månatlig,
,,(!) Vill ha artiklar med mycket relevanta entiteter och relevant fokusområde ,,,Månatlig,
,,,,,,
Lån & Sparbank (LSB),,,,,,
,LSB,"(-) Får inte skriva om lån som ett verktyg för att investera i aktier eller i sitt eget eller andras företag. 
(-) Får inte nämna bolån.",,,Månatlig,
,,,,,,
Comfydence,,,,,,
,Comfydence,"(-) Får inte nämna att trosorna kan användas vid inkontinens, det är juridiskt otillåtet.
(-) Får inte använda formuleringar som kan uppfattas som medicinska.
(-) Får inte nämna att trosorna fungerar bättre än engångsskydd.

(+) Fokusera gärna på att menstrosor i anslutning till badkläder / biki, eftersom konkurrensen här är låg.",,,Månatlig,
,,,,,,
Bethard,,,,,,
,Bethard,"(-) Nämn inte casinobonusar
(+) Länkas bara till sportsidor",,,,
,,,,,,
Spelklubben,,,,,,
,Spelklubben,"(+) Fokus på naturliga brand mentions
(+) Längre ankartexter
(+) Fokus på kontext",,,Månatlig,
,,,,,,
Stampen (domänleverantör),,,,,,
,Alingsås Tidning,"Inga trustlinks, inga egennamn, krav på boilerplate",,,,
,Bohusläningen,"Inga trustlinks, inga egennamn, krav på boilerplate",,,,
,Göteborgs-Posten,"Inga trustlinks, inga egennamn, krav på boilerplate",,,,
,Hallands Nyheter,"Inga trustlinks, inga egennamn, krav på boilerplate",,,,
,Hallandsposten,"Inga trustlinks, inga egennamn, krav på boilerplate",,,,
,Härryda-Posten,"Inga trustlinks, inga egennamn, krav på boilerplate",,,,
,Kungsbacka-Posten,"Inga trustlinks, inga egennamn, krav på boilerplate",,,,
,Kungälvs-Posten,"Inga trustlinks, inga egennamn, krav på boilerplate",,,,
,Lerums Tidning,"Inga trustlinks, inga egennamn, krav på boilerplate",,,,
,Mark-Posten,"Inga trustlinks, inga egennamn, krav på boilerplate",,,,
,Melleruds Nyheter,"Inga trustlinks, inga egennamn, krav på boilerplate",,,,
,Mölndals-Posten,"Inga trustlinks, inga egennamn, krav på boilerplate",,,,
,Partille Tidning,"Inga trustlinks, inga egennamn, krav på boilerplate",,,,
,ST-tidningen,"Inga trustlinks, inga egennamn, krav på boilerplate",,,,
,Strömstads Tidning,"Inga trustlinks, inga egennamn, krav på boilerplate",,,,
,TTELA,"Inga trustlinks, inga egennamn, krav på boilerplate",,,,
,,,,,,
Raketech,,,,,,
,Ocbscores,Allt content på engelska. Två trustlinks.,,Ja,Beställning,
,,,,,,
Betsson,,,,,,
,Betsson,"Undvik att nämna: 
Krig
Hälsa
Politik
Minderåriga

Undvika att använda:
Förskönande språk av betting och casino (exempelvis löftesrika texter)
Doom-N-gloom texter (exempelvis text om beroende och en lömsk bransch)

Inga externa länkar till:
Regeringssidor eller myndigheter
Konkurrenter

Inkludera:
1 extern trustlink
2 interna trustlinks
1 länk till kundens målsida (placeras mellan 20-60% av texten)

Övrigt:
Högt fokus på semantisk relevans och lättlästa texter med luftiga strukturer, gärna tabeller, listor, numreringar och fetmarkerade ord
Lyft the key-takeways högst upp i texten",,,,
,,,,,,
Bonnier,,,,,,
,Expressen,"Ingen trustlink
Format: Rubrik – ingress – länkrad – brödtext – eventuell andra länkrad
Korta stycken
Redaktionellt språk
",,,,
,Alltommat.expressen,,,,,
,Levaochbo.expressen,,,,,
,Halsoliv.expressen,,,,,
,Teknikensvarld.expressen,,,,,
,Amelia.expressen,,,,,
,,,,,,
Epidemic Sound,,,,,,
,Epidemic Sound,"""Copyright free music"" får användas, men inte i explicit relation med Epidemic Sound.
Viktigt med naturlig ankarintegration",,,,